,ghg_05,ghg_50,ghg_95,aerosol_05,aerosol_50,aerosol_95,other_05,other_50,other_95,natural_05,natural_50,natural_95,anthro_05,anthro_50,anthro_95,all_05,all_50,all_95
1914,0.097431171,0.13182443240453934,0.1778615920892516,-0.248949849,-0.140668581,-0.050193758,-0.232685294,-0.127651002,-0.039611772,-0.088172239,-0.057227239,-0.02351199,-0.070400564,0.008781111,0.065240448,-0.234893946,-0.06139075,0.1206391431407048
1915,0.10096670032755634,0.13655088327123127,0.18437877777533734,-0.254476752,-0.142824001,-0.051994636,-0.237077239,-0.128651187,-0.040471998,-0.057295169,-0.033057363,-0.007737654,-0.067854978,0.012273163953726074,0.068582186,-0.210217686,-0.02614636,0.1531712931822804
1916,0.10434223017566979,0.14124295461479994,0.19084430944851016,-0.257199216,-0.142265192,-0.050942845,-0.237525567,-0.128235376,-0.03971774,-0.015880461,0.006987714,0.034950358235245865,-0.063404362,0.016977317239781617,0.074022943,-0.157062076,0.017450906334833746,0.19616908607317526
1917,0.10783511517781129,0.14603271671840995,0.19737930348794366,-0.262860635,-0.147300082,-0.051976315,-0.242743632,-0.132737801,-0.040687075,0.015674872644592316,0.036939279,0.067482279,-0.062877125,0.018125134,0.076474137,-0.127740727,0.046637662,0.22324957845273768
1918,0.11134791120198556,0.15079230704503596,0.20401058796998375,-0.273720896,-0.153683638,-0.054313743,-0.252564382,-0.13883911,-0.041731132,0.037072983,0.057903952,0.090385183,-0.066557882,0.018161820641387827,0.078605924,-0.120218225,0.072495298,0.23604967629057866
1919,0.11486298196617238,0.15562054045253393,0.21066576857016073,-0.280905879,-0.157393845,-0.055651499,-0.259899844,-0.142190568,-0.042928905,0.048153628,0.071481333,0.10732936822374907,-0.066046,0.018806605129213075,0.080971251,-0.095142582,0.087746005,0.2510506584151292
1920,0.11826752618702646,0.16037337399752014,0.2171660638739821,-0.278059089,-0.152089175,-0.053904495,-0.255604292,-0.137211388,-0.042293084,0.05379654,0.075647685,0.11247280600704898,-0.056555842,0.026632782551755635,0.085687478,-0.089724227,0.095989558,0.2693657188006849
1921,0.12172183763347785,0.16520002690617908,0.22381655854564422,-0.285335247,-0.155864996,-0.054892596,-0.260054666,-0.140505137,-0.043068703,0.051792878,0.075414732,0.11232188404601709,-0.055327532,0.029433086,0.0879784,-0.073265107,0.094880757,0.2691698362291015
1922,0.12516891179767134,0.1700244650466145,0.23041453869435602,-0.278851658,-0.149049792,-0.051220317,-0.254325872,-0.134032164,-0.040588296,0.049601364,0.074386034,0.11084654728275137,-0.044524653,0.039931456,0.095419954,-0.066859238,0.10423601878599324,0.28388617687868317
1923,0.12860377450303576,0.17483312859696443,0.23706250015076605,-0.276372807,-0.146390567,-0.050541244,-0.251787279,-0.13212473,-0.03790647,0.031172628945799002,0.053044596,0.087290683,-0.036856598,0.04709196,0.1020843733426174,-0.076393546,0.09875325,0.261307835
1924,0.1321812201985353,0.17972226495368465,0.24393499943344576,-0.289625835,-0.153801842,-0.052083655,-0.264623798,-0.13845126,-0.039607416,0.029331261897068486,0.049097772,0.081619484,-0.040557704,0.046759155174985384,0.10275687700644381,-0.092271238,0.091558679,0.2765106790018895
1925,0.13602973463089713,0.1848401346745536,0.25095069963369415,-0.296209488,-0.156447824,-0.052784052,-0.266563483,-0.140470705,-0.040340035,0.03712965,0.058202814,0.09505427,-0.039709619,0.049781109095061074,0.10870372040526882,-0.069773835,0.10646043866976837,0.2723746540627101
1926,0.13999055786421244,0.19006906420144135,0.2580849838598896,-0.300373626,-0.158322385,-0.053332111,-0.271510685,-0.141737571,-0.039788776,0.04448351,0.067243457,0.10583714277723391,-0.036653874,0.053261515651913505,0.11302697527132893,-0.057046651,0.11776131374783257,0.3002723074380501
1927,0.14394059398346495,0.1952488374651536,0.2651949642491666,-0.304270122,-0.160390361,-0.054140587,-0.275149089,-0.143935501,-0.039947335,0.051599077,0.07691139,0.11653672013005785,-0.033546779,0.057081713789559195,0.1166663747479533,-0.036690473,0.13692270548183438,0.3042408330434429
1928,0.1478470963448403,0.20058202144185316,0.2724450568286083,-0.311756276,-0.165982694,-0.056076845,-0.282321612,-0.148429384,-0.041526019,0.057986748,0.085976773,0.1274200968795468,-0.034079006,0.057862660886237344,0.11918965287470829,-0.032637697,0.13558146375486596,0.328383704
1929,0.15170105087961738,0.2058756193307768,0.2797486338331544,-0.316193458,-0.170256207,-0.057868345,-0.286370158,-0.151424226,-0.043184779,0.056599403,0.084432335,0.12644462924124733,-0.032143473,0.060120663,0.12210607274971763,-0.025403211,0.14924001451903895,0.3187305362587669
1930,0.15572087091084466,0.2113230709983106,0.28708784800858933,-0.325201988,-0.178086613,-0.060893548,-0.296055179,-0.158054861,-0.045350988,0.032460592471446975,0.056707092,0.097192144,-0.03203872,0.059610198582425805,0.12383868302960432,-0.047977655,0.10809522715098689,0.2790133430638687
1931,0.15965853312551562,0.21681433740063333,0.2943316607408989,-0.330048959,-0.18097198,-0.062936203,-0.299941872,-0.159310482,-0.046265046,0.046955335,0.071968671,0.11249508445654177,-0.028454564,0.062131292313355846,0.12757852531546574,-0.028678961,0.1337747307048483,0.3011713763254285
1932,0.16342588516545525,0.22220524785430074,0.3019056165449021,-0.319804169,-0.172962786,-0.058924494,-0.290981111,-0.153570791,-0.042929576,0.052721233712493876,0.078969714,0.12185973705115782,-0.01357281,0.074377214,0.13568499560739866,-0.024061998,0.14891385019898398,0.3389454587421817
1933,0.1669846828426737,0.22741119897611703,0.3093090196533873,-0.311852283,-0.165634639,-0.055892461,-0.280119466,-0.147017707,-0.039953658,0.030944639,0.05471832,0.098092361,-0.001085923,0.086568218,0.1429903972153692,-0.029065583,0.13552254080671214,0.31483006654973916
1934,0.17064536048932155,0.23261991053220588,0.31662430926253315,-0.310572579,-0.163346758,-0.054774257,-0.276990475,-0.144707786,-0.039137215,0.035432761,0.059291616,0.10027626850704885,0.00981497,0.093346515,0.14790863391249615,-0.026436294,0.1491942212304873,0.32119871443279097
1935,0.17441786255912903,0.23798502941995514,0.32397063134186344,-0.318300152,-0.168734533,-0.056821362,-0.284132554,-0.150005303,-0.041028673,0.043480589,0.069289792,0.1136395730123903,0.011208124275570608,0.0944129,0.1494958979655536,-0.006762759,0.16661097015327836,0.33395213202605306
1936,0.17841297167264686,0.24332254370830023,0.33143914873280783,-0.326949283,-0.175938528,-0.060261259,-0.293163527,-0.156263659,-0.043671462,0.05112704,0.078899229,0.12497723754609429,0.00992758,0.094717185,0.15204244844190673,0.000665806,0.1717145090818729,0.33970556897437953
1937,0.18251845697810284,0.24882769969167942,0.33918917783897884,-0.341292779,-0.186838655,-0.064281182,-0.307754965,-0.1640617,-0.046364602,0.061917859,0.091922792,0.14159935403711876,0.004853219,0.091491221,0.15235035853113257,0.011643243902867528,0.179367158,0.3682613670594076
1938,0.18686946342069669,0.25456123287176613,0.3474044629290777,-0.353103473,-0.196121133,-0.067676506,-0.31839945,-0.171817681,-0.05021261,0.068479662,0.10064087880685546,0.15039392128976736,0.00044624,0.090496994,0.15494501386303908,0.021099810997076834,0.19688768223966502,0.366077872
1939,0.1910821312040491,0.26040927457251944,0.3554599677904131,-0.351472629,-0.195814773,-0.067640952,-0.318429605,-0.170915995,-0.050037527,0.070419048,0.10518465139670162,0.15710970362260246,0.008153736,0.095635098,0.16077505653074703,0.040089603,0.20576395375099016,0.3841439708365625
1940,0.19552822707498102,0.2664276141379681,0.363405351,-0.361664143,-0.202600514,-0.070013875,-0.327389043,-0.176909185,-0.05208547,0.072050541,0.10788582051950381,0.16084111246615757,0.007640966,0.096492846,0.16302066604665028,0.028522976519236357,0.20788116016817698,0.384628535
1941,0.20020261044923593,0.27254948631515824,0.3715566701875851,-0.372590291,-0.211000734,-0.074348882,-0.335833196,-0.184916408,-0.054539843,0.071160144,0.10729172331145972,0.161397817,0.005394321,0.09450649,0.1640656412589827,0.034208958528482256,0.21295735071275507,0.3862281616764724
1942,0.20501642180588814,0.2789429341706727,0.38001082488292187,-0.384184655,-0.21738271,-0.076678138,-0.344850401,-0.191356271,-0.056650052,0.069141322,0.10520599950771414,0.15959735571994083,0.004653284,0.095009707,0.1679452273944837,0.044233748,0.21090537083591637,0.39089937791591606
1943,0.2099335545643175,0.28549035254583016,0.38867035844974474,-0.395383801,-0.225621856,-0.079820352,-0.3563694,-0.198892245,-0.059649164,0.066858632,0.1019143440178891,0.15524669928007784,0.001434925,0.094609318,0.1698001234043137,0.032029383,0.20735213555504967,0.4019990724807625
1944,0.21483533057185303,0.2921284413375089,0.39759504080214547,-0.40550241,-0.231361024,-0.081724571,-0.363254716,-0.203737801,-0.060845395,0.063554605,0.097518961,0.15060936570333228,0.001599873,0.096028748,0.17365570699497052,0.022219995,0.20610326340939833,0.38993711564386896
1945,0.21990982622694716,0.2988873869101978,0.40668065986011664,-0.412279787,-0.234912485,-0.08275366,-0.369493239,-0.205926373,-0.060919623,0.061915834272177256,0.095757411,0.15034033953127746,0.004817955,0.10013474569169334,0.1787467217963038,0.033627201646500286,0.21365084936149606,0.38701855004328234
1946,0.22477729515457923,0.30543531218854447,0.41571177120059244,-0.40645134,-0.228156327,-0.079834494,-0.36334157,-0.199322138,-0.056663142,0.065850216,0.10050018329959977,0.15594368521295754,0.018810626,0.1134524469314537,0.1885894177545156,0.044134312,0.22609308999648386,0.4120633742377374
